src,des,weight
33,1587,1
33,2124,1
39,1067,1
39,1697,1
39,1588,1
39,258,1
39,1466,1
479,99,1
479,1690,1
479,2121,1
479,1022,1
479,552,1
479,1328,1
479,161,1
479,1998,1
479,923,1
479,1153,1
479,651,1
479,1994,1
479,58,1
479,1807,1
479,1097,1
168,889,1
168,279,1
168,258,1
168,2034,1
168,1675,1
168,1083,1
168,1986,1
168,1371,1
168,1053,1
168,1898,1
168,71,1
285,166,1
285,718,1
445,2164,1
445,55,1
445,1325,1
445,684,1
445,390,1
445,1501,1
445,1461,1
445,1112,1
445,567,1
445,1092,1
445,1450,1
445,1762,1
445,1947,1
445,149,1
445,1323,1
855,1434,1
855,1281,1
855,2130,1
855,984,1
855,1735,1
855,1190,1
855,1357,1
855,258,1
855,1777,1
855,260,1
855,1222,1
855,1237,1
855,1693,1
855,1071,1
855,1052,1
855,975,1
855,545,1
855,101,1
855,89,1
855,1529,1
855,162,1
805,1582,1
805,758,1
805,1138,1
805,542,1
805,1240,1
805,56,1
805,474,1
805,354,1
805,520,1
805,1197,1
805,438,1
805,1881,1
805,1056,1
808,884,1
808,1307,1
808,1083,1
808,744,1
808,1440,1
808,720,1
808,258,1
808,409,1
808,134,1
808,1777,1
808,161,1
449,50,1
449,1662,1
449,2022,1
449,1617,1
449,559,1
449,474,1
449,2000,1
449,1326,1
449,1576,1
449,425,1
449,593,1
449,835,1
449,2094,1
449,1510,1
449,1909,1
449,1857,1
449,645,1
449,1785,1
449,1328,1
449,883,1
449,1792,1
449,255,1
449,313,1
449,1575,1
449,1233,1
449,1062,1
449,174,1
449,1944,1
449,1020,1
449,1989,1
449,1578,1
449,998,1
449,1514,1
449,1688,1
449,51,1
449,787,1
449,1242,1
449,1632,1
449,416,1
449,931,1
449,2067,1
449,1969,1
449,925,1
857,1961,1
857,810,1
857,1594,1
857,1459,1
857,1133,1
857,557,1
857,1525,1
857,1012,1
857,430,1
857,1595,1
857,234,1
857,716,1
857,1074,1
857,1230,1
857,32,1
857,2089,1
857,590,1
857,1304,1
857,1534,1
857,509,1
869,2144,1
869,1420,1
869,1351,1
869,966,1
869,662,1
869,356,1
869,45,1
869,331,1
869,260,1
869,1813,1
869,162,1
869,173,1
869,572,1
869,1157,1
869,1781,1
869,945,1
869,36,1
869,1938,1
869,508,1
869,2118,1
869,744,1
869,1353,1
869,390,1
869,1475,1
869,2053,1
869,1699,1
869,1539,1
869,2015,1
869,1994,1
9,1877,1
